simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
14672,62748.4587,1598785253.44,5.0473091,-0.48562124,289.189509,-27.824047,2.0137282,644.58686,4.9269223,1.832075,0.29903686,0.081372008,0.1326366,4.9269223,1.832075,4.3499585,1.6175311,11.492169,0.23542,0.0,0.0,0.0,67.435167,0.42859,933.69903,308.123178
14673,63554.08,1668390929.71,4.2036458,0.89773489,240.851163,51.43642,0.6111723,563.62195,10.303741,1.3901474,0.07408157,-0.40788659,0.1171318,10.303741,1.3901474,9.2233885,1.2443897,11.928123,0.1721,0.0,0.0,0.0,68.74577,0.818976,485.733401,138.033566
14674,62514.5263,1578573490.54,5.0310326,-0.54409974,288.256935,-31.174619,1.1855226,563.21572,9.9286404,1.387959,-0.40885201,0.047930975,0.1170534,9.9286404,1.387959,8.8882419,1.2425181,11.928881,0.17182,0.0,0.0,0.0,65.718316,0.375813,799.267538,227.275421
14675,61385.6275,1481036632.09,2.8483986,0.87329868,163.201218,50.036329,1.2827214,159.07197,17.395433,1.6341306,0.099691913,0.3207399,0.0349751,17.395433,1.6341306,16.8075866,1.5789082,11.758606,0.20523,0.0,0.0,0.0,17.424876,0.284107,213.680234,52.555771
14676,63586.9333,1671229457.93,2.6173118,0.52982852,149.96092,30.356938,2.5015721,774.09455,8.2239361,2.3056376,-0.24927576,0.44565305,0.1569006,8.2239361,2.3056376,7.1085938,1.9929436,-696576190928640.0,-0.0,2.250849,0.0,0.717668,53.969366,0.802083,672.424216,215.135488
14677,62038.3057,1537428026.86,3.6438107,-1.1618779,208.774974,-66.5707,2.2084563,776.26203,12.372693,2.1270666,0.91211289,-0.37903047,0.1573013,12.372693,2.1270666,10.6909865,1.837954,-13901738904952.0,-0.0,2.382893,0.0,0.647926,72.077226,0.595317,1314.18542,496.992004
14678,64239.5702,1727617282.04,0.66689172,0.86057891,38.210081,49.307539,2.5010748,354.0676,11.238855,1.2894635,-0.85578662,0.10528171,0.0756434,11.238855,1.2894635,10.4484951,1.1987834,11.969371,0.15909,0.0,0.0,0.0,35.123328,0.801786,354.455275,64.426713
14679,62952.6453,1616426973.45,3.2320608,0.79229108,185.183443,45.394935,2.7715497,945.26829,6.4183249,1.9428893,-0.5921334,0.2344307,0.1880575,6.4183249,1.9428893,5.4023691,1.6353496,11.227824,0.25554,0.0,0.0,0.0,58.211086,0.932312,707.927272,252.762048
14680,61625.5923,1501769596.09,3.4278418,-0.70018465,196.400868,-40.117625,2.3796261,607.24629,9.6178951,1.6339792,0.2418322,0.11516254,0.1255195,9.6178951,1.6339792,8.5452938,1.4517555,11.75877,0.2052,0.0,0.0,0.0,40.172745,0.72348,597.929186,144.382203
14681,63884.0682,1696901910.49,5.532615,0.75368198,316.995489,43.182797,2.0417963,372.99061,9.7518759,1.6796851,0.67881536,0.19023944,0.0794775,9.7518759,1.6796851,9.0338857,1.5560168,11.711559,0.21179,0.0,0.0,0.0,64.433626,0.453778,445.883977,127.581489
14682,63459.0299,1660178599.18,2.4223455,-0.67780739,138.790174,-38.835503,2.4531094,590.34699,3.4135313,1.8645904,-0.66199768,0.30739474,0.1222798,3.4135313,1.8645904,3.0416046,1.661431,11.427919,0.24094,0.0,0.0,0.0,68.423701,0.772211,735.237924,232.7991
14683,62034.3951,1537090157.23,4.653054,-0.87936516,266.600356,-50.383912,2.8620333,949.4159,14.078995,1.8701005,-0.94989353,-0.13909605,0.1888005,14.078995,1.8701005,11.8430258,1.5730987,11.417451,0.24188,0.0,0.0,0.0,45.927402,0.961177,893.228287,289.095087
14684,62569.3911,1583313813.15,5.7618314,-0.92677724,330.128621,-53.100424,0.56654372,466.09277,19.612753,1.8024914,-0.20788446,0.38632545,0.09808,19.612753,1.8024914,17.8609503,1.6414936,11.543538,0.23059,0.0,0.0,0.0,67.481079,0.843761,614.205579,217.825638
14685,61358.2845,1478674200.18,3.3558617,0.072070353,192.276712,4.129327,2.2868476,673.41413,14.821773,1.4962633,-0.98553532,-0.22412208,0.1380929,14.821773,1.4962633,13.0233414,1.314711,11.868709,0.18617,0.0,0.0,0.0,39.832126,0.656411,1007.421238,305.037331
14686,62933.6773,1614788133.21,1.8648873,-0.74588299,106.850172,-42.735947,2.642361,131.18206,2.6352489,1.1643846,-0.43139064,0.27600348,0.0289698,2.6352489,1.1643846,2.5610556,1.1316023,12.006447,0.14321,0.00701,0.003064,0.001552,45.738709,0.877951,124.016343,15.819919
14687,62602.2845,1586155799.18,1.1355171,1.0237008,65.060337,58.653735,1.0163978,401.04218,10.384567,1.4590417,-0.08750245,-0.055416744,0.0851274,10.384567,1.4590417,9.5699062,1.3445811,11.891534,0.18119,0.0,0.0,0.0,59.066132,0.526432,624.040105,203.658693
14688,62750.5874,1598969167.03,5.9772452,0.62934171,342.470923,36.058624,2.5139066,402.97903,7.2704053,1.2708,-0.34134352,-0.29095864,0.085516,7.2704053,1.2708,6.6976491,1.1706875,11.975831,0.1567,0.0,0.0,0.0,28.41362,0.809389,574.969167,192.438135
