simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2_source,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
1274.0,63003.2286,1620797368.21,3.1644255,0.83913944,181.308226,48.079148,0.61703419,831.20216,6.0947692,1.3360855,0.14545817,0.25777466,0.1674051,6.0947692,1.3360855,5.2207832,1.1444917,12.011127,0.14071,0.013237,0.006391,0.001832,30.0,0.815598,814.887603,310.14142
1275.0,61789.0256,1515890231.74,4.9697052,-0.10270867,284.743133,-5.884773,2.8007386,856.2703,16.587274,1.6590553,0.91467708,0.42173187,0.1719807,16.587274,1.6590553,14.153197,1.4155995,11.916148,0.17543,0.097324,0.01711,0.020377,30.0,0.94247,1059.052039,320.877768
1276.0,63723.1683,1683000161.01,3.0808363,-0.13650431,176.518917,-7.821121,0.58912559,382.72407,5.632988,1.3959292,0.86836009,-0.17909399,0.0814424,5.632988,1.3959292,5.208773,1.2908031,11.968898,0.15926,0.302276,0.051287,0.070565,30.0,0.831427,726.968711,235.844344
1277.0,62718.9926,1596239376.93,6.2616801,-0.3423301,358.767842,-19.61407,0.67370233,829.00032,15.843576,1.6926786,0.95678243,-0.486797,0.1670022,15.843576,1.6926786,13.576303,1.4504502,11.897261,0.18003,0.198219,0.049615,0.037753,30.0,0.781517,566.76087,144.838849
1278.0,63695.0113,1680567390.19,1.0095297,-0.27750432,57.841791,-15.899826,1.8205695,338.18831,5.1630243,1.5091144,0.56576408,0.34631282,0.0724117,5.1630243,1.5091144,4.8144052,1.4072156,11.919454,0.17434,0.075079,0.00634,0.021166,30.0,0.247184,897.343569,308.192978
1279.0,63815.3798,1690967231.78,2.4070087,0.98419408,137.91144,56.390167,0.70982885,402.63713,3.4752454,1.3510949,0.027454678,-0.47640867,0.0854474,3.4752454,1.3510949,3.2016709,1.2447355,11.984183,0.15338,0.028043,0.00472,0.008297,30.0,0.758473,1040.799849,358.038479
1280.0,63510.9727,1664666457.73,0.90826795,-0.50230829,52.03992,-28.780145,2.2547456,403.77938,19.424537,1.2172153,0.94930358,-0.3998368,0.0856765,19.424537,1.2172153,17.8916429,1.1211583,12.016276,0.13778,0.197409,0.104261,0.023663,30.0,0.631859,483.880924,124.015601
1281.0,61240.1569,1468467974.78,2.6499954,1.1085708,151.833552,63.516428,0.086188216,861.65436,21.420742,1.4811108,0.95194552,-0.47367412,0.1729607,21.420742,1.4811108,18.2621143,1.2627114,11.978522,0.15567,0.148336,0.056678,0.023284,30.0,0.996288,885.11703,260.636026
1282.0,61048.7701,1451932152.52,4.8435342,0.99230926,277.514068,56.855133,2.8880253,407.57163,2.1866951,1.2548614,0.063128948,-0.029847629,0.0864368,2.1866951,1.2548614,2.0127219,1.1550248,12.008182,0.14204,0.098169,0.011511,0.033695,30.0,0.968024,206.174323,33.598343
1283.0,61944.712,1529341535.16,3.8167576,1.1350033,218.684102,65.030899,0.48115115,936.74295,6.1743168,2.1014615,0.98066581,-0.11638769,0.1865285,6.1743168,2.1014615,5.203682,1.7711008,11.593011,0.2256,0.366834,0.004358,0.121523,30.0,0.886463,1019.92803,360.759957
